Raw Acc: , 0.19 , -0.256 , -0.948 , Grav: , -0.2 , 0.255 , 0.979 
Raw Acc: , 0.19 , -0.256 , -0.948 , Grav: , -0.188 , 0.254 , 0.958 
Raw Acc: , 0.188 , -0.256 , -0.948 , Grav: , -0.142 , 0.252 , 0.981 
Raw Acc: , 0.188 , -0.255 , -0.948 , Grav: , -0.202 , 0.242 , 0.969 
Raw Acc: , 0.188 , -0.255 , -0.949 , Grav: , -0.194 , 0.261 , 0.988 
Raw Acc: , 0.188 , -0.254 , -0.949 , Grav: , -0.189 , 0.256 , 0.971 
Raw Acc: , 0.189 , -0.254 , -0.949 , Grav: , -0.213 , 0.252 , 0.97 
Raw Acc: , 0.189 , -0.251 , -0.949 , Grav: , -0.203 , 0.193 , 0.973 
Raw Acc: , 0.189 , -0.253 , -0.949 , Grav: , -0.201 , 0.309 , 0.961 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.207 , 0.193 , 0.968 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.2 , 0.26 , 0.989 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.196 , 0.26 , 0.981 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.196 , 0.263 , 0.967 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.204 , 0.252 , 0.963 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.192 , 0.26 , 0.97 
Raw Acc: , 0.19 , -0.251 , -0.949 , Grav: , -0.203 , 0.257 , 0.981 
Raw Acc: , 0.191 , -0.251 , -0.949 , Grav: , -0.201 , 0.257 , 0.983 
Raw Acc: , 0.19 , -0.248 , -0.95 , Grav: , -0.198 , 0.19 , 0.983 
Raw Acc: , 0.19 , -0.248 , -0.95 , Grav: , -0.201 , 0.257 , 0.972 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.204 , 0.256 , 0.966 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.193 , 0.256 , 0.986 
Raw Acc: , 0.188 , -0.248 , -0.95 , Grav: , -0.133 , 0.258 , 0.988 
Raw Acc: , 0.189 , -0.248 , -0.95 , Grav: , -0.208 , 0.267 , 0.987 
Raw Acc: , 0.189 , -0.248 , -0.95 , Grav: , -0.201 , 0.256 , 0.989 
Raw Acc: , 0.189 , -0.248 , -0.95 , Grav: , -0.187 , 0.251 , 0.973 
Raw Acc: , 0.189 , -0.248 , -0.95 , Grav: , -0.203 , 0.25 , 0.956 
Raw Acc: , 0.189 , -0.248 , -0.95 , Grav: , -0.193 , 0.251 , 0.986 
Raw Acc: , 0.189 , -0.25 , -0.95 , Grav: , -0.202 , 0.309 , 0.977 
Raw Acc: , 0.19 , -0.25 , -0.95 , Grav: , -0.21 , 0.258 , 0.973 
Raw Acc: , 0.19 , -0.25 , -0.949 , Grav: , -0.212 , 0.263 , 0.966 
Raw Acc: , 0.19 , -0.25 , -0.95 , Grav: , -0.196 , 0.245 , 0.963 
Raw Acc: , 0.19 , -0.249 , -0.95 , Grav: , -0.194 , 0.242 , 0.968 
