Raw Acc: , 0.101 , -0.112 , -0.989 , Grav: , -0.187 , -0.006 , 1.008 
Raw Acc: , 0.101 , -0.111 , -0.989 , Grav: , -0.142 , -0.004 , 1.034 
Raw Acc: , 0.101 , -0.11 , -0.989 , Grav: , -0.137 , -0.012 , 1.015 
Raw Acc: , 0.102 , -0.109 , -0.989 , Grav: , -0.136 , -0.003 , 1.023 
Raw Acc: , 0.102 , -0.108 , -0.989 , Grav: , -0.144 , -0.006 , 1.016 
Raw Acc: , 0.103 , -0.106 , -0.989 , Grav: , -0.137 , -0.007 , 1.017 
Raw Acc: , 0.103 , -0.106 , -0.989 , Grav: , -0.136 , -0.014 , 1.027 
Raw Acc: , 0.103 , -0.104 , -0.989 , Grav: , -0.13 , -0.001 , 1.012 
Raw Acc: , 0.103 , -0.103 , -0.989 , Grav: , -0.142 , -0.011 , 1.041 
Raw Acc: , 0.103 , -0.102 , -0.989 , Grav: , -0.133 , -0.008 , 1.011 
Raw Acc: , 0.103 , -0.101 , -0.989 , Grav: , -0.135 , 0.001 , 1.018 
Raw Acc: , 0.104 , -0.1 , -0.99 , Grav: , -0.138 , -0.012 , 1.013 
Raw Acc: , 0.104 , -0.099 , -0.99 , Grav: , -0.142 , -0.009 , 1.025 
Raw Acc: , 0.104 , -0.099 , -0.99 , Grav: , -0.131 , -0.007 , 1.007 
Raw Acc: , 0.104 , -0.098 , -0.99 , Grav: , -0.124 , -0.009 , 1.037 
Raw Acc: , 0.104 , -0.097 , -0.99 , Grav: , -0.151 , -0.008 , 1.027 
Raw Acc: , 0.104 , -0.096 , -0.99 , Grav: , -0.132 , -0.001 , 1.009 
Raw Acc: , 0.105 , -0.096 , -0.99 , Grav: , -0.142 , -0.007 , 0.996 
Raw Acc: , 0.105 , -0.096 , -0.99 , Grav: , -0.139 , -0.024 , 1.015 
Raw Acc: , 0.105 , -0.095 , -0.99 , Grav: , -0.132 , -0.001 , 1.025 
Raw Acc: , 0.104 , -0.094 , -0.99 , Grav: , -0.127 , -0.008 , 1.021 
Raw Acc: , 0.105 , -0.094 , -0.99 , Grav: , -0.144 , -0.008 , 1.012 
Raw Acc: , 0.105 , -0.094 , -0.99 , Grav: , -0.149 , -0.011 , 1.015 
Raw Acc: , 0.105 , -0.093 , -0.99 , Grav: , -0.136 , -0.012 , 1.003 
Raw Acc: , 0.106 , -0.093 , -0.99 , Grav: , -0.141 , -0.005 , 1.014 
Raw Acc: , 0.105 , -0.093 , -0.99 , Grav: , -0.136 , -0.022 , 1.018 
Raw Acc: , 0.105 , -0.093 , -0.99 , Grav: , -0.139 , -0.012 , 1.021 
Raw Acc: , 0.105 , -0.093 , -0.99 , Grav: , -0.132 , -0.006 , 1.007 
Raw Acc: , 0.106 , -0.092 , -0.99 , Grav: , -0.141 , -0.007 , 1.017 
Raw Acc: , 0.105 , -0.092 , -0.99 , Grav: , -0.132 , -0.013 , 1.018 
Raw Acc: , 0.105 , -0.091 , -0.99 , Grav: , -0.133 , -0.009 , 1.024 
Raw Acc: , 0.105 , -0.091 , -0.99 , Grav: , -0.138 , -0.014 , 1.009 
Raw Acc: , 0.105 , -0.09 , -0.99 , Grav: , -0.134 , -0.009 , 1.02 
Raw Acc: , 0.104 , -0.092 , -0.99 , Grav: , -0.131 , -0.062 , 1.025 
Raw Acc: , 0.104 , -0.092 , -0.99 , Grav: , -0.14 , -0.002 , 1.02 
Raw Acc: , 0.104 , -0.091 , -0.99 , Grav: , -0.138 , -0.013 , 1.024 
Raw Acc: , 0.104 , -0.091 , -0.99 , Grav: , -0.133 , -0.024 , 1.012 
Raw Acc: , 0.105 , -0.092 , -0.99 , Grav: , -0.184 , -0.004 , 1.027 
Raw Acc: , 0.106 , -0.092 , -0.99 , Grav: , -0.147 , -0.006 , 1.032 
Raw Acc: , 0.106 , -0.091 , -0.99 , Grav: , -0.137 , -0.008 , 1.014 
Raw Acc: , 0.106 , -0.091 , -0.99 , Grav: , -0.137 , -0.002 , 1.037 
Raw Acc: , 0.106 , -0.091 , -0.99 , Grav: , -0.143 , -0.027 , 0.998 
Raw Acc: , 0.106 , -0.091 , -0.99 , Grav: , -0.138 , -0.008 , 1.022 
Raw Acc: , 0.106 , -0.09 , -0.99 , Grav: , -0.133 , -0.006 , 1.014 
