pipe:4, 9

167.848 2.415 -12.374
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.924 179.987 179.944
179.926 179.995 179.933
179.922 -179.991 179.921
179.917 179.993 179.925
179.915 -179.993 179.923
179.911 -179.993 179.939
179.91 179.99 179.964
179.912 -179.99 179.982
179.918 -179.983 179.987
179.927 -179.959 179.982
179.943 -179.966 179.953
179.933 -179.95 179.938
179.921 -179.934 179.974
179.913 -179.927 179.961
179.911 -179.923 179.966
179.902 -179.914 179.954
179.913 -179.934 179.929
179.921 -179.937 179.906
179.918 -179.96 179.893
179.906 -179.986 179.9
179.894 -179.976 179.933
179.891 -179.965 179.939
179.891 -179.974 179.947
sumTime,angle,sumTime,angleCorrectionPower: , 4561.02 ,  -0.705002 , 4561.02 , -1.44384 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 4570.27 ,  -0.688995 , 4570.27 , -1.41106 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5604.76 ,  -4.41299 , 5604.76 , -9.03781 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5622.19 ,  -4.18201 , 5622.19 , -8.56475 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5639.41 ,  -3.756 , 5639.41 , -7.69228 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5655.17 ,  -3.373 , 5655.17 , -6.90791 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5670.94 ,  -3.07001 , 5670.94 , -6.28737 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5686.86 ,  -1.79401 , 5686.86 , -3.67413 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5702.87 ,  -0.705994 , 5702.87 , -1.44588 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5718.98 ,  0.959 , 5718.98 , 1.96403 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5734.72 ,  2.524 , 5734.72 , 5.16915 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5750.72 ,  3.608 , 5750.72 , 7.38918 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5766.47 ,  4.439 , 5766.47 , 9.09107 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5780.17 ,  3.861 , 5780.17 , 7.90733 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5788.95 ,  3.861 , 5788.95 , 7.90733 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5797.57 ,  3.771 , 5797.57 , 7.72301 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5806.25 ,  2.867 , 5806.25 , 5.87162 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5814.95 ,  2.867 , 5814.95 , 5.87162 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5824.11 ,  1.888 , 5824.11 , 3.86662 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5833.11 ,  1.168 , 5833.11 , 2.39206 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5842.32 ,  -0.0169983 , 5842.32 , -0.0348125 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5851.62 ,  -0.0169983 , 5851.62 , -0.0348125 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5860.38 ,  -0.985992 , 5860.38 , -2.01931 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5869.09 ,  -2.679 , 5869.09 , -5.48659 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5877.94 ,  -2.679 , 5877.94 , -5.48659 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5886.83 ,  -3.47 , 5886.83 , -7.10656 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5895.57 ,  -4.05299 , 5895.57 , -8.30053 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5904.23 ,  -4.05299 , 5904.23 , -8.30053 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
