pipe:4, 9

168.186 2.192 -13.061
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.07 -0.028 0.028
0.075 -0.048 0.019
0.082 -0.018 0.033
0.088 -0.011 0.025
0.078 -0.047 0.023
0.087 -0.072 0.015
0.082 -0.061 0.02
0.072 -0.066 0.024
0.079 -0.09 0.013
0.08 -0.084 0.012
0.071 -0.075 0.01
0.074 -0.091 -0.003
0.076 -0.084 -0.008
0.072 -0.045 -0.012
0.095 -0.051 -0.037
0.096 -0.043 -0.048
0.104 -0.024 -0.068
0.104 -0.03 -0.067
0.099 -0.026 -0.054
0.077 -0.016 -0.016
0.065 -0.025 -0.003
0.074 -0.032 -0.007
0.088 -0.03 -0.015
timer_u: , 2.96439e-323 , timer_m: , 1.34221e+265 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16423 , timer_m: , 16.423 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16984 , timer_m: , 16.984 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16827 , timer_m: , 16.827 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16428 , timer_m: , 16.428 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16441 , timer_m: , 16.441 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17341 , timer_m: , 17.341 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16562 , timer_m: , 16.562 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 18090 , timer_m: , 18.09 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17767 , timer_m: , 17.767 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17124 , timer_m: , 17.124 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17246 , timer_m: , 17.246 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16366 , timer_m: , 16.366 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16408 , timer_m: , 16.408 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15781 , timer_m: , 15.781 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16270 , timer_m: , 16.27 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15856 , timer_m: , 15.856 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15977 , timer_m: , 15.977 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16196 , timer_m: , 16.196 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16105 , timer_m: , 16.105 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16230 , timer_m: , 16.23 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15966 , timer_m: , 15.966 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15977 , timer_m: , 15.977 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15765 , timer_m: , 15.765 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16175 , timer_m: , 16.175 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16032 , timer_m: , 16.032 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17434 , timer_m: , 17.434 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15726 , timer_m: , 15.726 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17511 , timer_m: , 17.511 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15707 , timer_m: , 15.707 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16045 , timer_m: , 16.045 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15622 , timer_m: , 15.622 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15982 , timer_m: , 15.982 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16323 , timer_m: , 16.323 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16212 , timer_m: , 16.212 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16299 , timer_m: , 16.299 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17531 , timer_m: , 17.531 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 18799 , timer_m: , 18.799 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16441 , timer_m: , 16.441 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17197 , timer_m: , 17.197 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16710 , timer_m: , 16.71 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17541 , timer_m: , 17.541 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17426 , timer_m: , 17.426 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15884 , timer_m: , 15.884 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16302 , timer_m: , 16.302 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16621 , timer_m: , 16.621 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16217 , timer_m: , 16.217 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , 0.00168889 , 0.004864 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16821 , timer_m: , 16.821 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , 0.00163333 , 0.004704 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 1.0565e+06 , timer_m: , 1056.5 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.036289 , -0.104512 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16034 , timer_m: , 16.034 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0365 , -0.10512 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16599 , timer_m: , 16.599 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0356667 , -0.10272 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16054 , timer_m: , 16.054 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0343667 , -0.0989761 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15983 , timer_m: , 15.983 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0345334 , -0.0994561 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16305 , timer_m: , 16.305 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0293333 , -0.08448 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15916 , timer_m: , 15.916 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0244888 , -0.0705278 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16111 , timer_m: , 16.111 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.025611 , -0.0737598 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16154 , timer_m: , 16.154 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0259445 , -0.0747202 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 17608 , timer_m: , 17.608 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0250444 , -0.0721279 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15958 , timer_m: , 15.958 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0245556 , -0.0707202 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15935 , timer_m: , 15.935 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0271111 , -0.0780801 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 17098 , timer_m: , 17.098 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0213001 , -0.0613442 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 20102 , timer_m: , 20.102 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0220666 , -0.0635518 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16168 , timer_m: , 16.168 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0185889 , -0.0535361 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16036 , timer_m: , 16.036 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0206777 , -0.0595518 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15915 , timer_m: , 15.915 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0221444 , -0.0637759 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15949 , timer_m: , 15.949 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0215334 , -0.0620161 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16329 , timer_m: , 16.329 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0232334 , -0.0669121 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16020 , timer_m: , 16.02 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0189223 , -0.0544961 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16001 , timer_m: , 16.001 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0194333 , -0.0559678 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15943 , timer_m: , 15.943 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0173555 , -0.0499839 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16282 , timer_m: , 16.282 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0173777 , -0.0500479 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 15989 , timer_m: , 15.989 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
angle,angleCorrectionPower: , -0.0168777 , -0.0486079 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , timer_u: , 16053 , timer_m: , 16.053 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
