pipe:4, 9

168.102 1.938 -13.047
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.073 0.001 -0.061
0.066 -0.021 -0.07
0.066 -0.003 -0.084
0.071 -0.017 -0.11
0.072 -0.005 -0.104
0.063 0.042 -0.115
0.063 0.038 -0.099
0.07 0.022 -0.081
0.084 0.005 -0.069
0.098 0.009 -0.073
0.127 0.028 -0.082
0.112 0.038 -0.079
0.11 0.041 -0.069
0.108 0.043 -0.069
0.124 0.07 -0.085
0.147 0.084 -0.103
0.136 0.069 -0.085
0.135 0.067 -0.073
0.122 0.066 -0.054
0.116 0.079 -0.031
0.12 0.077 -0.019
0.108 0.066 -0.014
0.1 0.066 -0.004
timer_u: , 2.96439e-323 , timer_m: , 1.43352e+265 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16479 , timer_m: , 16.479 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15675 , timer_m: , 15.675 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16698 , timer_m: , 16.698 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16658 , timer_m: , 16.658 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17326 , timer_m: , 17.326 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15843 , timer_m: , 15.843 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15689 , timer_m: , 15.689 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15975 , timer_m: , 15.975 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 12648 , timer_m: , 12.648 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9004 , timer_m: , 9.004 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8744 , timer_m: , 8.744 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8605 , timer_m: , 8.605 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8763 , timer_m: , 8.763 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8597 , timer_m: , 8.597 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9359 , timer_m: , 9.359 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9057 , timer_m: , 9.057 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8577 , timer_m: , 8.577 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8716 , timer_m: , 8.716 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8927 , timer_m: , 8.927 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8722 , timer_m: , 8.722 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8989 , timer_m: , 8.989 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8834 , timer_m: , 8.834 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8936 , timer_m: , 8.936 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9325 , timer_m: , 9.325 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9043 , timer_m: , 9.043 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9505 , timer_m: , 9.505 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
